Item,Designator,Qty,Value/Description,Package,Manufacturer,Manufacturer Part Number,LCSC,Notes
1,"C1, C4, C21",3,100nF ceramic capacitor,C_0603_1608Metric,YAGEO,CC0603KRX7R9BB104,C14663,Footprint changed THT->SMD 2026-08-06 (no THT 100nF in stock at any supplier); net connectivity preserved, 0 unconnected pads confirmed by DRC.
2,"C2, C3, C16, C19",4,10uF electrolytic capacitor,CP_Radial_D5.0mm_P2.00mm,CX (Dongguan Chengxing Elec),KM106M016D11RR0VH2FP0,C43799,Replaced 2026-08-08: original UD2E100M1010 (C88697) was actually SMD D10xL10.2mm, not THT as assumed - PCB footprint is THT (CP_Radial_D5.0mm_P2.00mm) and the SMD part physically collided with neighboring components at all 4 positions (confirmed via JLCPCB DFM: solder pad not found / component overlap / insufficient spacing). KM106M016D11RR0VH2FP0 is a genuine THT radial part, D5xL11mm, 2mm pitch - matches the existing footprint exactly, no layout change needed. 22,200 in stock, min order 50.
3,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C18",12,1uF ceramic capacitor,C_Disc_D5.0mm_W2.5mm_P2.50mm,VISHAY,K105K20X7RF5TH5,C2167638,
4,"C17, C20",2,220uF electrolytic capacitor,CP_Radial_D8.0mm_P3.50mm,Chengx,KM227M035F12RR0VH2FP0,C2063,
5,D1,1,TVS diode 5V unidirectional,Nexperia_DSN1608-2_1.6x0.8mm,Nexperia,PTVS5V0Z1USKYL,C553448,Footprint changed THT->SMD 2026-08-06, then corrected 2026-08-08 from D_SOD-323 to Nexperia_DSN1608-2_1.6x0.8mm (SOD964) - the actual LCSC C553448 part uses DSN1608-2/SOD964, not SOD-323; SOD-323 pads did not match the real part. Polarity/GND preserved (via added to reconnect to GND plane), 0 unconnected pads confirmed geometrically.
6,"D2, D3, D4, D5",4,Small signal switching diode,D_DO-35_SOD27_P7.62mm_Horizontal,LGE,1N4148,C402212,
7,F1,1,Resettable fuse (PTC) 500mA,Fuse_Bourns_MF-RG500,Bourns,MF-RG500,C1562150,
8,J1,1,USB-C receptacle (power only - no data pins used),USB_C_Receptacle_GCT_USB4085,GCT,USB4085-GF-A,C7095263,Only VBUS/GND used; some USB-C-to-C chargers may not enable VBUS without CC pulldown. Orientation corrected 2026-08-12: user compared our layout against the real part (photo + GCT USB4085 datasheet) and found the connector was mounted backwards - mating face was overhanging into the board interior instead of past the board edge (this is what JLCPCB's "please confirm J1 orientation" DFM question, SMT026081260178_Y11, was actually flagging). J1 rotated 180 deg (now at 171.04, 93.98mm, board top edge at y=85mm) and VBUS routing to F1/D1 rebuilt to reach the new pad positions - final placement and routing done directly in KiCad by the user after an earlier automated attempt was found to be too tight in places and reverted. Validated 2026-08-12: KiCad DRC reports 0 errors (only cosmetic silkscreen/library-mismatch warnings, unrelated to this fix); independently confirmed VBUS is a single connected net spanning J1-F1-D1 and GND reaches J1 through the In1.Cu zone pour at the new pad locations. The 4 shield/mounting pads (unconnected, no schematic net) are no longer tied together by copper - that connection served no electrical function and was dropped during the reroute. See gerbers v13.0.
9,"J2, J3, J4, J5, J6",5,3.5mm TRRS jack (4-pole) - horizontal PCB mount,Jack_3.5mm_PJ320D_Horizontal,HanElectricity,PJ-320D,C22459515,Hybrid THT+SMD footprint (2 THT mechanical pins + 4 SMD signal pads); confirmed against manufacturer datasheet. SMD pad size corrected 2026-08-12: JLCPCB SMT026081260178_Y11 DFM flagged package/pad mismatch on J2-J6 (unable to assemble); the KiCad stock footprint used 1.2x2.5mm SMD pads, but the actual purchased part (HanElectricity PJ-320D datasheet, C22459515) specifies 1.5x3.0mm pads. Pads resized to 1.5x3.0mm (3.0x1.5mm on J6, whose footprint instance is mirrored/rotated opposite to J2-J5); enlarging the pads at fixed center brought J3/S, J4/S and J6/T within the 0.2mm clearance rule against already-routed traces, so those 3 pads were shifted 0.3-0.4mm via pad copper offset only (footprint placement/anchor used by the CPL file is unchanged), and one GND segment next to J6/S was rerouted around the enlarged pad. Re-verified via KiCad Python API (pad/track bounding-box + segment-distance check across all J2-J6 pads): 0 clearance violations. See gerbers v11.0.
10,"K1, K2, K3, K4",4,SPDT signal relay - 5VDC coil,Relay_SPDT_Omron_G5V-1,Omron,G5V-1-DC5,C28695,
