Item,Designator,Qty,Value/Description,Package,Manufacturer,Manufacturer Part Number,JLCPCB Part #,Notes
1,"C1, C4",2,"100nF 50V X7R radial ceramic, THT 5mm pitch",C_Disc_D5.0mm_P5.00mm,Vishay,K104K15X7RF5TH5,C2167231,
2,"C2, C5",2,"10uF 16V aluminium electrolytic, THT radial",CP_Radial_D5.0mm_P2.00mm,CX,KM106M016D11RR0VH2FP0,C43799,
3,C3,1,"47uF 16V aluminium electrolytic, THT radial D5 (relay-coil bulk) - verify exact code",CP_Radial_D5.0mm_P2.00mm,Chengx,KM476M016C11RR0VH3FP0,C177036,
4,D1,1,"P6KE6.8A 600W unidirectional TVS diode, DO-15 THT (USB VBUS clamp), mounted vertically",D_DO-15_P3.81mm,BORN,P6KE6.8A,C152132,
5,"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25",24,"1N4148 small-signal switching diode, DO-35 THT, mounted vertically",D_DO-35_P2.54mm,LGE,1N4148,C402212,
6,F1,1,"RXEF050 resettable PTC fuse, 500mA hold, 5.1mm radial",Fuse_Bourns_MF-RG500,Littelfuse,RXEF050,C76399,
7,J1,1,"USB Type-C receptacle, power only (VBUS/GND/CC)",USB_C_Receptacle_GCT_USB4085,GCT,USB4085-GF-A,C7095263,
8,"J2, J3, J4, J5, J6",5,"P2 (3.5 mm) 3-conductor audio jack, right-angle THROUGH-HOLE. Datasheet terminals: pin 3 = tip (mic), pins 2 & 4 = ring/sleeve (both to GND). Local footprint from the LCSC/EasyEDA C17701689 pad data + datasheet. Bring-up: confirm pin 3 is the tip contact.",Jack_3.5mm_3pole_THT_Horizontal,SHOU HAN,PJ-320A-3P DIP,C17701689,
9,"K1, K2, K3, K4",4,"SPDT signal relay, 5VDC coil (mic routing)",Relay_SPDT_Omron_G5V-1,Omron,G5V-1-DC5,C28695,
10,"Q1, Q2, Q3, Q4",4,"2N7000 N-channel logic-level MOSFET, TO-92 (relay-coil driver)",TO-92_Inline,onsemi,2N7000,C9114,
11,"R1, R2",2,"5.1k 1/4W axial resistor, THT, mounted vertically (USB-C CC pull-down) - verify code",R_Axial_DIN0207_P2.54mm_Vertical,UNI-ROYAL,CFR0W4J0512A50,C22962,
12,"R3, R4, R5, R6, R7, R8, R9, R10, R11, R16, R17, R18, R19",13,"100k 1/4W axial resistor, THT, mounted vertically (pull-downs / POR)",R_Axial_DIN0207_P2.54mm_Vertical,Yageo,MFR-25FBF52-100K,C1364475,
13,"R12, R13, R14, R15",4,"1k 1/4W axial resistor, THT, mounted vertically (MOSFET gate series)",R_Axial_DIN0207_P2.54mm_Vertical,CCO,CF1/4W-1KR-J,C120055,
14,"R20, R21, R22, R23",4,"2.2k 1/4W axial resistor, THT, mounted vertically (relay NC bias -> keeps a de-selected notebook seeing ~1.1 V, not open-circuit) - verify code",R_Axial_DIN0207_P2.54mm_Vertical,UNI-ROYAL,CFR0W4J0222A50,C22975,
15,"SW1, SW2, SW3, SW4",4,"6mm right-angle (horizontal) momentary tact pushbutton, THT (select buttons)",SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,C&K,PTS645VK392LFS,C285519,
16,U1,1,"CD4043B CMOS quad NOR R/S latch, DIP-16 (one-hot mic selector)",DIP-16_W7.62mm,lingxingic,CD4043BE,C22390239,
